index,Source airport,Destination airport
0,AER,KZN
1,ASF,KZN
2,ASF,MRV
3,CEK,KZN
4,CEK,OVB
5,DME,KZN
6,DME,NBC
7,DME,TGK
8,DME,UUA
9,EGO,KGD
10,EGO,KZN
11,GYD,NBC
12,KGD,EGO
13,KZN,AER
14,KZN,ASF
15,KZN,CEK
16,KZN,DME
17,KZN,EGO
18,KZN,LED
19,KZN,SVX
20,LED,KZN
21,LED,NBC
22,LED,UUA
23,MRV,ASF
24,NBC,DME
25,NBC,GYD
26,NBC,LED
27,NBC,SVX
28,NJC,SVX
29,NJC,UUA
30,NUX,SVX
31,OVB,CEK
32,OVB,SVX
33,SVX,KZN
34,SVX,NBC
35,SVX,NJC
36,SVX,NUX
37,SVX,OVB
38,TGK,DME
39,UUA,DME
40,UUA,LED
41,UUA,NJC
42,BTK,IKT
43,BTK,OVB
44,CEK,OVB
45,HTA,IKT
46,IKT,BTK
47,IKT,HTA
48,IKT,KCK
49,IKT,ODO
50,IKT,OVB
51,IKT,UKX
52,IKT,ULK
53,IKT,YKS
54,KCK,IKT
55,MJZ,OVB
56,ODO,IKT
57,OVB,BTK
58,OVB,CEK
59,OVB,IKT
60,UKX,IKT
61,ULK,IKT
62,YKS,IKT
63,AYP,LIM
64,CUZ,LIM
65,CUZ,PEM
66,HUU,LIM
67,IQT,PCL
68,IQT,TPP
69,LIM,AYP
70,LIM,CUZ
71,LIM,HUU
72,LIM,PCL
73,LIM,TPP
74,PCL,IQT
75,PCL,LIM
76,PCL,TPP
77,PEM,CUZ
78,TPP,IQT
79,TPP,LIM
80,TPP,PCL
81,ABJ,BOY
82,ABJ,OUA
83,ACC,OUA
84,BKO,ABJ
85,BKO,DKR
86,BKO,OUA
87,BOY,ABJ
88,BOY,OUA
89,COO,LFW
90,COO,OUA
91,DKR,BKO
92,DKR,OUA
93,LFW,OUA
94,NIM,OUA
95,OUA,ABJ
96,OUA,ACC
97,OUA,BKO
98,OUA,BOY
99,OUA,COO
100,OUA,DKR
101,OUA,LFW
102,OUA,NIM
103,BOG,GYE
104,BOG,UIO
105,CLO,GYE
106,GYE,BOG
107,GYE,CLO
108,GYE,SCY
109,GYE,UIO
110,OCC,UIO
111,SCY,GYE
112,UIO,BOG
113,UIO,GYE
114,UIO,OCC
115,BDS,ZRH
116,BOD,ZRH
117,BRS,ZRH
118,GVA,LPA
119,LCA,ZRH
120,LPA,ZRH
121,RMF,ZRH
122,TFS,GVA
123,ZRH,BDS
124,ZRH,BOD
125,ZRH,BRS
126,ZRH,LCA
127,ZRH,LPA
128,ZRH,RMF
129,AJR,LYC
130,ARN,GEV
